Job post title,Company name,Location (city and voivodeship),Short summary
Junior Python QA (embedded),nowa oferta,,"Data publikacji 2020-09-24.
Oferta ważna do 2020-10-24.
Współpraca z międzynardowym startupem, tworzącym soft i rozwiązania dedykowane dla bezprzewodowego…"
(Junior) Software Developer Python/Django,Skyconcept,,"Poszerzał swoją wiedzę i umiejętności w szczególności przy:
Rozwijaniu i projektowaniu wielomodułowych aplikacji internetowych.
Stabilną pracę w młodym zespole."
Junior Research Specialist,earlycareers-dentsuaegisnetwork,,"Grupa Dentsu Aegis Network Polska jest częścią globalnej sieci Dentsu Aegis Network.
Jako jedna z pierwszych jest prawdziwie globalną siecią komunikacji…"
C++ Developer Intern or Junior,Vewd Software,,"C++ Developer - Junior or Internship.
Vewd is the leading independent developer of cloud and embedded software that enables the TV and media industry's…"
Junior Research Specialist,Dentsu Aegis Network,,"Grupa Dentsu Aegis Network Polska jest częścią globalnej sieci Dentsu Aegis Network.
Jako jedna z pierwszych jest prawdziwie globalną siecią komunikacji…"
Junior/Mid Data Scientist,Innovation in IT (IIIT),,"If you successfully complete the recruitment process, you will join the Data Science team.
This team is dedicated to solving a variety of optimization problems…"
Junior Software Engineer (Python),GOG.com,,"Experience in Python and common python libraries (including Flask).
GOG.com seeks talented Junior Software Engineers to join one of our cross-functional product…"
Junior Python Developer,Hays,,"Hays IT Contracting to nowoczesna forma współpracy dla specjalistów z branży informatycznej, na zasadach B2B, dla wiodących na rynku Klientów prowadzących…"
Junior Data Engineer - Internship,Deloitte,,"Poszukujemy obecnie osoby na stanowisko: praktykanta w zespole Analytics & Cognitive.
Jeśli lubisz pracę z danymi, kręci Cię wydobywanie z nich biznesowej…"
Junior Data Analyst,nowa oferta,,"A LITTLE BIT ABOUT YOU.
You are passionate about data and lots of it.
You are driven by curiosity and enjoy problem-solving.
Ability to follow the process."
Junior Webdeveloper,KalkulatorKalorii.net,,"Poszukujemy programistów do rozwoju naszych serwisów internetowych.
Jako członek naszego zespołu będziesz odpowiedzialny za rozwój istniejących nowych nowych…"
"Junior Market Risk Manager, Warsaw",Nordea,,It’s an exciting time to join Nordea’s risk management team as we are just starting to build our Group Market and Counterparty Credit Risk (GMCCR) department in…
Junior Tableau Developer,Vizyble,,"Jeżeli jesteś nowy w świecie danych, chcesz poznać Tableau zapraszamy do naszego zespołu.
Według nas technologia jest tylko środkiem a naszym celem jest poprawa…"
Junior Data Scientist,AMA Institute,,"Junior Data Scientist będzie odgrywać istotną rolę w projektach analitycznych, obejmującą:
Wsparcie w implementacji rozwiązań analityczno-biznesowych."
Junior Market Risk Manager,nowa oferta,,"Junior Market Risk Manager, Warsaw.
It’s an exciting time to join Nordea’s risk management team as we are just starting to build our Group Market and…"
